"filename", "language", "PHP", "SQL", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\Info\biblioteca\account.php", "PHP", 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\Info\biblioteca\biblioteca_diminich.sql", "SQL", 0, -407, 0, 0, 2, 11, -394
"c:\xampp\htdocs\Info\biblioteca\function\AutoPosition\carta.php", "PHP", 132, 0, 0, 0, 13, 27, 172
"c:\xampp\htdocs\Info\biblioteca\function\AutoPosition\libro.php", "PHP", 132, 0, 0, 0, 13, 27, 172
"c:\xampp\htdocs\Info\biblioteca\function\AutoPosition\volume.php", "PHP", 132, 0, 0, 0, 6, 27, 165
"c:\xampp\htdocs\Info\biblioteca\function\Dati\getLibro.php", "PHP", -4, 0, 0, 0, 0, 0, -4
"c:\xampp\htdocs\Info\biblioteca\function\Inserisci\Autori\insertAutoriCarta.php", "PHP", -8, 0, 0, 0, 5, 1, -2
"c:\xampp\htdocs\Info\biblioteca\function\Inserisci\inserisciAutore.php", "PHP", 53, 0, 0, 0, 0, 12, 65
"c:\xampp\htdocs\Info\biblioteca\function\Inserisci\inserisciCarta.php", "PHP", 8, 0, 0, 0, -9, 1, 0
"c:\xampp\htdocs\Info\biblioteca\function\Inserisci\inserisciCasaEditrice.php", "PHP", 51, 0, 0, 0, 0, 11, 62
"c:\xampp\htdocs\Info\biblioteca\function\Inserisci\inserisciEnciclopedia.php", "PHP", 69, 0, 0, 0, 5, 11, 85
"c:\xampp\htdocs\Info\biblioteca\function\Inserisci\inserisciVolume.php", "PHP", 65, 0, 0, 0, 5, 11, 81
"c:\xampp\htdocs\Info\biblioteca\insert.php", "PHP", 27, 0, 0, 0, 0, 4, 31
"c:\xampp\htdocs\Info\biblioteca\insertElement.php", "PHP", 1, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Info\biblioteca\resources\css\index.css", "CSS", 0, 0, 0, 17, 0, 0, 17
"c:\xampp\htdocs\Info\biblioteca\resources\css\insert.css", "CSS", 0, 0, 0, 145, 7, 18, 170
"c:\xampp\htdocs\Info\biblioteca\resources\css\insertElement.css", "CSS", 0, 0, 0, -5, 0, -2, -7
"c:\xampp\htdocs\Info\biblioteca\resources\js\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Info\biblioteca\resources\js\insert.js", "JavaScript", 0, 0, 227, 0, 11, 55, 293
"c:\xampp\htdocs\Info\biblioteca\resources\js\insertElement.js", "JavaScript", 0, 0, 209, 0, 8, 38, 255
"c:\xampp\htdocs\Info\biblioteca\resources\js\nav.js", "JavaScript", 0, 0, 8, 0, 0, 3, 11
"c:\xampp\htdocs\Info\biblioteca\resources\js\ricerca.js", "JavaScript", 0, 0, 0, 0, -3, -1, -4
"c:\xampp\htdocs\Info\biblioteca\resources\js\show.js", "JavaScript", 0, 0, -2, 0, 0, 0, -2
"Total", "-", 659, -407, 443, 157, 63, 255, 1170
